4 627 854
2 58 1057.000000 798.000000
2 59 1127.599976 708.400024
2 60 1095.199951 560.799988
2 61 1146.800049 752.800049
2 62 1077.199951 776.800049
2 63 1132.400024 1042.000000
2 64 1109.599976 713.200012
2 65 1136.000000 710.800049
2 66 1100.000000 733.599976
2 67 1121.599976 566.799988
2 68 1056.800049 798.400024
2 69 1127.359985 707.920044
2 70 1095.680054 559.599976
2 71 1076.959961 777.040039
2 72 1108.640015 713.680054
2 73 1136.000000 709.359985
2 74 1131.680054 1042.000000
2 75 1100.000000 733.840027
2 76 1125.920044 756.880005
2 77 1098.560059 441.520020
2 78 1056.800049 693.520020
2 79 1120.160034 670.479980
2 80 1127.072021 708.784058
2 81 1095.968018 560.176025
2 82 1135.712036 708.784058
2 83 1076.959961 776.176025
2 84 1132.255981 1040.560059
2 85 1090.784058 924.784058
2 86 1101.151978 732.976074
2 87 1111.520020 712.585693
2 88 1090.784058 924.092896
2 89 1076.268799 774.793701
2 90 1094.931152 559.139221
2 91 1084.563232 754.057617
2 92 1088.710449 559.139221
2 93 1105.299194 532.182434
2 94 1062.997803 532.182434
2 95 1084.397339 994.014771
2 96 1063.495483 528.201172
2 97 1087.383301 656.598511
2 98 1070.661865 565.824585
3 48 181.000000 730.000000
3 49 130.000000 799.000000
3 50 197.273270 773.550293
3 51 197.273270 773.550293
3 52 183.600006 1064.800049
3 53 154.000000 755.000000
3 54 188.400009 732.400024
3 55 179.000000 779.000000
3 56 162.000000 736.000000
3 57 174.000000 589.000000
3 58 109.200005 821.200012
3 59 180.000000 731.200012
3 60 148.000000 583.000000
3 61 199.200012 775.599976
3 62 129.600006 799.599976
3 63 183.600006 1064.800049
3 64 162.000000 736.000000
3 65 188.400009 732.400024
3 66 153.600006 755.200012
3 67 174.000000 589.599976
3 68 109.200005 821.200012
3 69 180.000000 730.960022
3 70 148.608017 582.640015
3 71 129.600006 798.640015
3 72 162.720001 735.280029
3 73 188.640015 732.400024
3 74 182.880005 1065.040039
3 75 152.639999 755.440002
3 76 179.712021 777.904053
3 77 151.200012 464.559998
3 78 110.400002 715.599976
3 79 174.528015 693.232056
3 80 181.440018 731.248047
3 81 148.608017 582.640015
3 82 188.640015 732.400024
3 83 129.600006 798.640015
3 84 183.168015 1064.752075
3 85 143.424011 947.248047
3 86 153.792007 755.440063
3 87 163.814423 735.395264
3 88 143.078415 946.902466
3 89 130.636826 797.603271
3 90 147.225616 581.948853
3 91 138.931213 776.867249
3 92 141.004822 581.948853
3 93 159.252518 554.577332
3 94 116.951065 554.577332
3 95 137.355301 1017.902649
3 96 116.453407 549.103027
3 97 140.341278 680.486328
3 98 125.411362 587.920837
0 99 284.000000 935.000000
0 100 555.000000 980.000000
0 101 516.000000 1145.000000
0 102 268.000000 987.000000
0 103 268.000000 985.000000
0 104 459.000000 1031.000000
0 105 457.000000 1030.000000
0 106 408.000000 1070.000000
0 107 279.000000 939.000000
0 108 510.000000 1081.000000
0 109 600.000000 1107.000000
0 110 461.000000 1031.000000
0 111 405.000000 1070.000000
0 112 582.000000 1159.000000
0 113 503.000000 1019.000000
0 114 502.000000 1035.000000
0 115 283.200012 935.599976
0 116 516.000000 1144.400024
0 117 459.600006 1030.400024
0 118 267.600006 986.000000
0 119 507.600006 1083.199951
0 120 278.400024 939.200012
0 121 510.000031 1080.800049
